,senador,partido,id_diputado,distrito
92,Sr. Nicolás Noman,Partido: UDI,1055,Distrito: N°4
93,Sr. Iván Norambuena,Partido: UDI,875,Distrito: N°21
94,Sr. Daniel Núñez,Partido: PC,993,Distrito: N°5
95,Sra. Paulina Núñez,Partido: RN,994,Distrito: N°3
96,Sra. Emilia Nuyado,Partido: PS,1056,Distrito: N°25
97,Sra. Erika Olivera,Partido: IND,1057,Distrito: N°9
98,Sra. Maite Orsini,Partido: RD,1058,Distrito: N°9
99,Sr. José Miguel Ortiz,Partido: DC,879,Distrito: N°20
100,Sra. Ximena Ossandón,Partido: RN,1059,Distrito: N°12
101,Sr. Luis Pardo,Partido: RN,1060,Distrito: N°6
102,Sra. Andrea Parra,Partido: PPD,1061,Distrito: N°22
103,Sr. Diego Paulsen,Partido: RN,995,Distrito: N°22
104,Sr. José Pérez,Partido: PR,885,Distrito: N°21
105,Sr. Leopoldo Pérez,Partido: RN,946,Distrito: N°12
106,Sra. Joanna Pérez,Partido: DC,1062,Distrito: N°21
107,Sra. Catalina Pérez,Partido: RD,1063,Distrito: N°3
108,Sr. Pablo Prieto,Partido: IND,1064,Distrito: N°17
109,Sr. Guillermo Ramírez,Partido: UDI,1065,Distrito: N°11
110,Sr. Jorge Rathgeb,Partido: RN,999,Distrito: N°22
111,Sr. Rolando Rentería,Partido: UDI,1066,Distrito: N°18
112,Sr. Hugo Rey,Partido: RN,1067,Distrito: N°17
113,Sr. Luis Rocafull,Partido: PS,1000,Distrito: N°1
114,Sra. Camila Rojas,Partido: COMUNES,1068,Distrito: N°7
115,Sr. Leonidas Romero,Partido: RN,1069,Distrito: N°20
116,Sr. Patricio Rosas,Partido: IND,1070,Distrito: N°24
117,Sr. Gastón Saavedra,Partido: PS,1071,Distrito: N°20
118,Sr. Jorge Sabag,Partido: DC,893,Distrito: N°19
119,Sra. Marcela Sabat,Partido: RN,949,Distrito: N°10
120,Sr. René Saffirio,Partido: IND,950,Distrito: N°23
121,Sr. Raúl Saldívar,Partido: PS,1001,Distrito: N°5
122,Sr. Gustavo Sanhueza,Partido: UDI,1072,Distrito: N°19
123,Sr. Juan Santana,Partido: PS,1073,Distrito: N°4
124,Sr. Alejandro Santana,Partido: RN,952,Distrito: N°26
125,Sra. Marisela Santibáñez,Partido: PC,1074,Distrito: N°14
