,senador,partido
139,Sra. Virginia Troncoso,Partido: UDI
140,Sr. Francisco Undurraga,Partido: EVOP
141,Sr. Ignacio Urrutia,Partido: PREP
142,Sr. Osvaldo Urrutia,Partido: UDI
143,Sr. Cristóbal Urruticoechea,Partido: RN
144,Sra. Camila Vallejo,Partido: PC
145,Sr. Enrique Van Rysselberghe,Partido: UDI
146,Sr. Esteban Velásquez,Partido: FRVS
147,Sr. Pedro Velásquez,Partido: IND
148,Sr. Mario Venegas,Partido: DC
149,Sr. Daniel Verdessi,Partido: DC
150,Sr. Pablo Vidal,Partido: RD
151,Sr. Gastón Von Mühlenbrock,Partido: UDI
152,Sr. Matías Walker,Partido: DC
153,Sr. Gonzalo Winter,Partido: PCS
154,Sra. Gael Yeomans,Partido: PCS
